Country,Year,Gender,Population,,,
Australia,1990,Male,299019,,,
Australia,1991,Male,304211,,,
Australia,1992,Male,308905,,,
Australia,1993,Male,313306,,,
Australia,1994,Male,317278,,,
Australia,1995,Male,321280,,,
Australia,1996,Male,324553,,,
Australia,1997,Male,327016,,,
Australia,1998,Male,328778,,,
Australia,1999,Male,331263,,,
Australia,2000,Male,335071,,,
Australia,2001,Male,340138,,,
Australia,2002,Male,345913,,,
Australia,2003,Male,352377,,,
Australia,2004,Male,358785,,,
Australia,2005,Male,364320,,,
Australia,2006,Male,369322,,,
Australia,2007,Male,373565,,,
Australia,2008,Male,377479,,,
Australia,2009,Male,381629,,,
Australia,2010,Male,386203,,,
Australia,2011,Male,390943,,,
Australia,2012,Male,395910,,,
Australia,2013,Male,400579,,,
Australia,2014,Male,405329,,,
Australia,2015,Male,409767,,,
Australia,2016,Male,413922,,,
Australia,2017,Male,418014,,,
Australia,1990,Female,455101,,,
Australia,1991,Female,467000,,,
Australia,1992,Female,477851,,,
Australia,1993,Female,487974,,,
Australia,1994,Female,496843,,,
Australia,1995,Female,504545,,,
Australia,1996,Female,511320,,,
Australia,1997,Female,517941,,,
Australia,1998,Female,524233,,,
Australia,1999,Female,531050,,,
Australia,2000,Female,538802,,,
Australia,2001,Female,548055,,,
Australia,2002,Female,558809,,,
Australia,2003,Female,570706,,,
Australia,2004,Female,581830,,,
Australia,2005,Female,591401,,,
Australia,2006,Female,599587,,,
Australia,2007,Female,606697,,,
Australia,2008,Female,612810,,,
Australia,2009,Female,619128,,,
Australia,2010,Female,625458,,,
Australia,2011,Female,632347,,,
Australia,2012,Female,638551,,,
Australia,2013,Female,643796,,,
Australia,2014,Female,649153,,,
Australia,2015,Female,653303,,,
Australia,2016,Female,656578,,,
Australia,2017,Female,659444,,,