Country,Year,Total population,Deaths-Rate
Australia,1990,16961000,12.80008223
Australia,1991,17189000,12.6457467
Australia,1992,17402000,12.62696182
Australia,1993,17603000,12.26537157
Australia,1994,17799000,12.69029248
Australia,1995,17993000,12.8067681
Australia,1996,18189000,13.088745
Australia,1997,18387000,13.36840484
Australia,1998,18587000,13.4684682
Australia,1999,18788000,13.02913866
Australia,2000,18991000,12.44325856
Australia,2001,19195000,11.79419628
Australia,2002,19401000,11.35699273
Australia,2003,19624000,10.97537392
Australia,2004,19880000,10.65348511
Australia,2005,20179000,10.41425258
Australia,2006,20526000,10.25500911
Australia,2007,20916000,10.5408221
Australia,2008,21332000,10.69683605
Australia,2009,21751000,10.74031152
Australia,2010,22155000,10.75843653
Australia,2011,22538000,10.64535537
Australia,2012,22904000,10.49414471
Australia,2013,23255000,10.53358955
Australia,2014,23596000,10.96272686
Australia,2015,23932000,11.2778022
Australia,2016,24263000,11.08186987
Australia,2017,24585000,11.04688494